year;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
world_import;7554;7554;7554;7554;7554;7554;7554;7554;7554;20672;23042;24931;27023;31031;30168;28039;31230;32678;32032;32986;29843;26310;23879;22462;22468;21065;23198;23768;24808;26332;27351;27520;29437;31018;31816;32491;34332;36641;37121;37694;39769;39534;39252;41371;44243;44687;45555;44838;45119;43372;44075;43658;44176;42759
world_export;7555;8424;9529;10527;12611;14032;16105;17227;19480;22069;24661;26772;29119;33202;32544;30142;34308;35160;33928;35615;41354;28250;24887;23801;24032;22962;25428;25147;26845;28079;28985;28838;30569;31237;31944;32822;33841;35198;36981;35915;38371;37285;36243;38251;41112;41715;41969;42297;40993;40200;41032;40444;41107;39830
